DateTime,Unnamed: 0,SoilMoisture_0.05m,SoilMoisture_0.1m,SoilMoisture_0.2m,SoilMoisture_0.3m,GWETPROF,PRECTOTCORR,T2M,Water_Absorbed_By_Wheat
2022-11-19,5795,0.23725,0.3134583333333333,0.2313236413043478,0.321,0.47,8.12,7.36,0.0
2022-11-20,5796,0.2342083333333333,0.311125,0.2295495619235836,0.3225,0.47,1.87,7.79,0.0
2022-11-21,5797,0.2480833333333333,0.323,0.2287412137681159,0.3345833333333333,0.48,19.15,9.08,0.0
2022-11-22,5798,0.24475,0.3189583333333333,0.2310213949275362,0.3409583333333333,0.5,8.16,8.13,0.0
2022-11-23,5799,0.2555,0.329125,0.230694402173913,0.3485833333333333,0.52,10.75,10.96,0.0
2022-11-24,5800,0.236625,0.3114166666666667,0.2342207971014492,0.3360833333333333,0.52,1.66,9.91,0.0
2022-11-25,5801,0.2462083333333333,0.3197083333333333,0.2312792210144927,0.3389166666666667,0.52,8.33,8.4,0.0
2022-11-26,5802,0.2392083333333333,0.3139583333333333,0.2405477717391304,0.3393333333333333,0.53,0.06,7.12,0.0
2022-11-27,5803,0.2291666666666666,0.3052083333333333,0.2498460688405797,0.3304166666666667,0.53,0.25,8.46,0.0
2022-11-28,5804,0.2425833333333333,0.315625,0.2464580072463767,0.3343333333333333,0.54,11.04,8.55,0.0
2022-11-29,5805,0.2472083333333333,0.320875,0.2434784057971014,0.3414999999999999,0.55,4.41,7.15,0.0
2022-11-30,5806,0.2355416666666666,0.3100416666666666,0.2476153804347825,0.3354999999999999,0.55,0.48,3.95,0.0
2022-12-01,5807,0.2288333333333333,0.3047916666666666,0.2462552717391304,0.3290416666666667,0.55,0.01,1.91,0.0
2022-12-02,5808,0.22525,0.301625,0.2437040398550724,0.3252916666666667,0.55,0.04,2.62,0.0
2022-12-03,5809,0.2217916666666667,0.299125,0.245991690821256,0.3222083333333334,0.55,1.45,4.51,0.0
2022-12-04,5810,0.2191666666666666,0.297125,0.2496826992753623,0.3202916666666667,0.55,0.47,3.31,0.0
2022-12-05,5811,0.2155,0.294875,0.251006920289855,0.3175833333333333,0.55,0.0,4.05,0.0
2022-12-06,5812,0.2146666666666666,0.2931666666666666,0.2506916485507246,0.3155416666666666,0.55,0.02,6.76,0.0
2022-12-07,5813,0.2130833333333333,0.2922499999999999,0.2519008695652173,0.315,0.55,0.12,7.04,0.0
2022-12-08,5814,0.2103749999999999,0.2902083333333333,0.2579833152173912,0.3132916666666667,0.55,2.05,6.35,0.0
2022-12-09,5815,0.212125,0.29,0.257655018115942,0.313,0.55,1.4,7.6,0.0
2022-12-10,5816,0.2111666666666666,0.2895416666666666,0.2552985869565217,0.312375,0.55,0.15,0.45,0.0
2022-12-11,5817,0.2069583333333333,0.287375,0.2547838782051282,0.308875,0.55,0.0,-0.2,0.0
2022-12-12,5818,0.2080416666666666,0.286375,0.2517518115942029,0.3070416666666666,0.55,6.4,2.85,0.0
2022-12-13,5819,0.242,0.3121666666666666,0.2500472628458497,0.3086666666666666,0.55,1.68,9.9,0.0
2022-12-14,5820,0.2483333333333333,0.322,0.2524568000658761,0.3332083333333334,0.56,2.26,10.61,0.0
2022-12-15,5821,0.2405833333333333,0.313625,0.2531734683794466,0.3364583333333333,0.56,5.96,9.46,0.0
2022-12-16,5822,0.2435833333333333,0.3149583333333333,0.2539172167325428,0.33625,0.57,2.22,8.11,0.0
2022-12-17,5823,0.2420833333333333,0.3157916666666666,0.2570469720496894,0.339,0.57,0.11,3.25,0.0
2022-12-18,5824,0.2335833333333333,0.308,0.2591917929292929,0.3320416666666667,0.57,0.03,5.95,0.0
2022-12-19,5825,0.2304583333333333,0.305375,0.2610843115942028,0.3289583333333333,0.57,0.03,9.85,0.0
2022-12-20,5826,0.2278333333333333,0.3030833333333333,0.263631727602108,0.32725,0.57,0.33,9.87,0.0
2022-12-21,5827,0.2273333333333333,0.3019166666666666,0.2639332715260016,0.3255833333333333,0.57,0.64,11.02,0.0
2022-12-22,5828,0.2256666666666666,0.3005416666666666,0.2625103079710144,0.32475,0.57,0.86,12.26,0.0
2022-12-23,5829,0.224,0.2995416666666666,0.2624674275362318,0.3241666666666666,0.57,0.11,13.47,0.0
2022-12-24,5830,0.221125,0.2977083333333333,0.2616028804347826,0.3226666666666666,0.57,0.1,11.04,0.0
2022-12-25,5831,0.2185,0.2962499999999999,0.2598910869565217,0.3211666666666666,0.57,0.05,9.99,0.0
2022-12-26,5832,0.2184166666666666,0.2952083333333333,0.2599429347826086,0.3202083333333334,0.56,0.2,10.41,0.0
2022-12-27,5833,0.2175,0.2949166666666666,0.2629114311594203,0.3191666666666666,0.56,0.71,10.12,0.0
2022-12-28,5834,0.2159166666666666,0.293375,0.2627518563512361,0.31825,0.56,0.06,9.01,0.0
2022-12-29,5835,0.2157916666666667,0.293,0.2628203804347825,0.317,0.56,4.38,9.06,0.0
2022-12-30,5836,0.221,0.2943333333333333,0.2620711956521738,0.316875,0.57,0.35,10.49,0.0
2022-12-31,5837,0.219375,0.2945416666666666,0.2628549094202898,0.317,0.57,0.02,11.14,0.0
2023-01-01,5838,0.218125,0.2939583333333333,0.2644333928571428,0.317,0.57,0.08,11.06,0.0
2023-01-02,5839,0.2162916666666666,0.293,0.2674121212121212,0.317,0.57,0.89,10.15,0.0
2023-01-03,5840,0.2155,0.2921249999999999,0.2648570853462157,0.31625,0.57,0.18,7.53,0.0
2023-01-04,5841,0.2136249999999999,0.2909583333333333,0.2658879629629629,0.3145,0.57,0.02,6.3,0.0
2023-01-05,5842,0.2126249999999999,0.29,0.2663300193968672,0.3130416666666666,0.56,0.02,7.98,0.0
2023-01-06,5843,0.2114166666666666,0.289,0.2702481371687893,0.313,0.56,0.01,6.79,0.0
2023-01-07,5844,0.2100416666666666,0.2885,0.2670287679221886,0.3119166666666667,0.56,2.12,7.82,0.0
2023-01-08,5845,0.2142083333333333,0.2889166666666666,0.2661667499999999,0.3110833333333333,0.57,6.38,8.81,0.0
2023-01-09,5846,0.2599166666666667,0.329,0.2665790744400527,0.3384583333333333,0.59,10.9,7.54,0.0
2023-01-10,5847,0.24375,0.3155416666666666,0.2711326106025934,0.3422083333333334,0.59,0.19,7.77,0.0
2023-01-11,5848,0.2413333333333333,0.3115,0.2747617783566894,0.3348333333333333,0.59,2.0,7.91,0.0
2023-01-12,5849,0.2414583333333333,0.3120833333333333,0.2750142621870882,0.3337083333333333,0.59,0.04,7.63,0.0
2023-01-13,5850,0.2355833333333333,0.3081666666666666,0.2767410243741765,0.3310833333333333,0.59,0.56,7.84,0.0
2023-01-14,5851,0.2314583333333333,0.3052499999999999,0.2747489311594203,0.328,0.59,0.0,8.79,0.0
2023-01-15,5852,0.245,0.3140833333333333,0.2750023188405797,0.3290833333333333,0.59,4.57,6.48,0.0
2023-01-16,5853,0.2589583333333333,0.3265416666666667,0.2772680253623188,0.3429583333333333,0.6,15.76,5.98,0.0
2023-01-17,5854,0.2665416666666667,0.3355833333333333,0.2803399225955204,0.368,0.62,21.24,5.67,0.0
2023-01-18,5855,0.2532916666666666,0.3235833333333333,0.2772955615942029,0.3724583333333333,0.64,7.89,1.74,0.0
2023-01-19,5856,0.2599583333333333,0.3277916666666666,0.2753233333333333,0.3644583333333333,0.64,12.56,1.73,0.0
2023-01-20,5857,0.2640833333333333,0.3380833333333333,0.2797570471014493,0.3785416666666667,0.65,1.18,-0.81,0.0
2023-01-21,5858,0.2500833333333333,0.3229166666666667,0.2803820652173913,0.3774583333333333,0.65,0.1,-1.3,0.0
2023-01-22,5859,0.2420416666666666,0.3145833333333333,0.2786318675889327,0.3667083333333333,0.65,0.02,-2.38,0.0
2023-01-23,5860,0.2358749999999999,0.3093333333333333,0.2873995652173912,0.3511249999999999,0.65,0.04,-1.75,0.0
2023-01-24,5861,0.235125,0.3070416666666666,0.2852633563899868,0.337625,0.65,0.04,-1.17,0.0
2023-01-25,5862,0.2315416666666666,0.304875,0.2820459486166007,0.329875,0.66,0.1,-0.58,0.0
2023-01-26,5863,0.232875,0.3043333333333333,0.2816290678524374,0.3260833333333333,0.66,0.2,-0.41,0.0
2023-01-27,5864,0.232125,0.3042499999999999,0.2814596014492753,0.323875,0.66,0.08,-0.29,0.0
2023-01-28,5865,0.2297083333333333,0.3030833333333333,0.2806699859264582,0.3223333333333333,0.66,0.08,-0.04,0.0
2023-01-29,5866,0.227375,0.301375,0.2817484025032938,0.3205416666666666,0.66,0.02,-0.4,0.0
2023-01-30,5867,0.224,0.2998333333333333,0.2811696734424995,0.319375,0.65,0.0,-0.22,0.0
2023-01-31,5868,0.2216666666666666,0.2981666666666666,0.2802589866051823,0.3177916666666666,0.65,0.05,2.66,0.0
2023-02-01,5869,0.22075,0.297375,0.2790871212121212,0.3173333333333333,0.65,0.07,4.07,0.0
2023-02-02,5870,0.2174583333333333,0.2960416666666666,0.2793111989459815,0.3167083333333333,0.65,0.0,2.79,0.0
2023-02-03,5871,0.2145416666666666,0.2940416666666666,0.2775130928853754,0.31525,0.65,0.01,2.25,0.0
2023-02-04,5872,0.2121666666666666,0.2924166666666666,0.2769541337285902,0.3135416666666666,0.65,0.01,2.99,0.0
2023-02-05,5873,0.277221727807971,0.3174203140096618,0.280621920289855,0.3170806272644927,0.65,0.06,4.21,0.0
2023-02-06,5874,0.2083333333333333,0.2900416666666666,0.2790826086956521,0.3123333333333333,0.65,0.05,3.94,0.0
2023-02-07,5875,0.205875,0.2885,0.2828175724637681,0.3110416666666666,0.65,2.12,3.83,0.0
2023-02-08,5876,0.2048333333333333,0.287375,0.281319861660079,0.3092499999999999,0.65,0.02,3.46,0.0
2023-02-09,5877,0.2025416666666667,0.2861666666666666,0.2795033168642951,0.3085416666666666,0.64,0.05,4.26,0.0
2023-02-10,5878,0.2004583333333333,0.2849166666666666,0.280694612686972,0.3074583333333333,0.64,0.0,4.23,0.0
2023-02-11,5879,0.1979583333333333,0.2830833333333333,0.2791201268115942,0.3063333333333333,0.64,0.0,3.51,0.0
2023-02-12,5880,0.1960416666666666,0.2819583333333333,0.2793515579710144,0.3053333333333333,0.64,0.0,4.18,0.0
2023-02-13,5881,0.1943333333333333,0.28075,0.2780891666666666,0.30475,0.63,0.0,5.23,0.0
2023-02-14,5882,0.1925833333333333,0.2795416666666667,0.2760771903820816,0.3047083333333333,0.63,0.0,6.72,0.0
2023-02-15,5883,0.190875,0.278875,0.276662269433465,0.304875,0.63,0.0,7.17,0.0
2023-02-16,5884,0.189375,0.2774583333333333,0.2732993577075098,0.3035416666666666,0.63,0.0,8.44,0.0
